FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
61,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Left,7,0.0031,0.0009,0.0602,0.1134,-0.0506,-0.0297,0.9918,0.005,,,,,,,
61,Left,8,0.0000,0.0000,0.0379,0.2333,-0.0010,0.0263,0.9721,0.005,,,,,,,
61,Left,9,0.0000,0.0000,0.0243,0.1398,-0.0235,0.0170,0.9898,0.005,,,,,,,
61,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Left,12,-0.0025,0.0045,0.0620,0.1623,-0.1143,0.0218,0.9798,0.005,,,,,,,
61,Left,13,0.0000,0.0000,0.0429,0.2785,-0.0011,0.0126,0.9603,0.005,,,,,,,
61,Left,14,0.0000,0.0000,0.0275,0.1262,0.0050,0.0557,0.9904,0.005,,,,,,,
61,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Left,17,-0.0025,-0.0005,0.0539,0.1759,-0.1364,0.0699,0.9724,0.005,,,,,,,
61,Left,18,0.0000,0.0000,0.0390,0.2386,0.0051,0.0386,0.9703,0.005,,,,,,,
61,Left,19,0.0000,0.0000,0.0266,0.1274,0.0297,0.0106,0.9913,0.005,,,,,,,
61,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.005,,,,,,,
61,Left,22,0.0000,0.0000,0.0457,0.1775,-0.0576,-0.0752,0.9795,0.005,,,,,,,
61,Left,23,0.0000,0.0000,0.0307,0.2054,-0.0336,0.0560,0.9765,0.005,,,,,,,
61,Left,24,0.0000,0.0000,0.0203,0.0354,0.0491,-0.0009,0.9982,0.005,,,,,,,
61,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
61,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.005,,,,,,,
61,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.005,,,,,,,
61,Right,4,0.0000,0.0000,0.0338,0.1372,-0.0484,0.0784,0.9862,0.005,,,,,,,
61,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,7,-0.0036,0.0020,0.0596,0.2377,0.0906,0.0198,0.9669,0.005,,,,,,,
61,Right,8,0.0000,0.0000,0.0379,0.1360,0.0036,-0.0263,0.9904,0.005,,,,,,,
61,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.005,,,,,,,
61,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,12,0.0020,0.0050,0.0614,0.2891,0.1009,-0.0334,0.9514,0.005,,,,,,,
61,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.005,,,,,,,
61,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.005,,,,,,,
61,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,17,0.0025,-0.0005,0.0539,0.2697,0.1103,-0.0778,0.9534,0.005,,,,,,,
61,Right,18,0.0000,0.0000,0.0390,0.0724,0.0006,-0.0352,0.9968,0.005,,,,,,,
61,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.005,,,,,,,
61,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
61,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.005,,,,,,,
61,Right,22,0.0000,0.0000,0.0457,0.1857,0.0037,0.0843,0.9790,0.005,,,,,,,
61,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.005,,,,,,,
61,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.005,,,,,,,
61,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,0.4339,-0.2095,0.0090,-0.0743,-0.5921,-0.7978,0.0859
62,Left,2,0.0315,-0.0136,0.0332,-0.1504,0.3537,-0.5170,0.7649,0.005,,,,,,,
62,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.005,,,,,,,
62,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.005,,,,,,,
62,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,7,0.0031,0.0009,0.0602,0.1134,-0.0506,-0.0297,0.9918,0.005,,,,,,,
62,Left,8,0.0000,0.0000,0.0379,0.2333,-0.0010,0.0263,0.9721,0.005,,,,,,,
62,Left,9,0.0000,0.0000,0.0243,0.1398,-0.0235,0.0170,0.9898,0.005,,,,,,,
62,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,12,-0.0025,0.0045,0.0620,0.1623,-0.1143,0.0218,0.9798,0.005,,,,,,,
62,Left,13,0.0000,0.0000,0.0429,0.2786,-0.0011,0.0126,0.9603,0.005,,,,,,,
62,Left,14,0.0000,0.0000,0.0275,0.1262,0.0050,0.0557,0.9904,0.005,,,,,,,
62,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,17,-0.0025,-0.0005,0.0539,0.1759,-0.1364,0.0699,0.9724,0.005,,,,,,,
62,Left,18,0.0000,0.0000,0.0390,0.2386,0.0051,0.0386,0.9703,0.005,,,,,,,
62,Left,19,0.0000,0.0000,0.0266,0.1274,0.0297,0.0106,0.9913,0.005,,,,,,,
62,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.005,,,,,,,
62,Left,22,0.0000,0.0000,0.0457,0.1775,-0.0576,-0.0752,0.9795,0.005,,,,,,,
62,Left,23,0.0000,0.0000,0.0307,0.2054,-0.0336,0.0560,0.9765,0.005,,,,,,,
62,Left,24,0.0000,0.0000,0.0203,0.0354,0.0491,-0.0009,0.9982,0.005,,,,,,,
62,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
62,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.005,,,,,,,
62,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.005,,,,,,,
62,Right,4,0.0000,0.0000,0.0338,0.1372,-0.0484,0.0784,0.9862,0.005,,,,,,,
62,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,7,-0.0036,0.0020,0.0596,0.2377,0.0906,0.0198,0.9669,0.005,,,,,,,
62,Right,8,0.0000,0.0000,0.0379,0.1360,0.0036,-0.0263,0.9904,0.005,,,,,,,
62,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.005,,,,,,,
62,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,12,0.0020,0.0050,0.0614,0.2891,0.1009,-0.0334,0.9514,0.005,,,,,,,
62,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.005,,,,,,,
62,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.005,,,,,,,
62,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,17,0.0025,-0.0005,0.0539,0.2697,0.1103,-0.0778,0.9534,0.005,,,,,,,
62,Right,18,0.0000,0.0000,0.0390,0.0724,0.0006,-0.0352,0.9968,0.005,,,,,,,
62,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.005,,,,,,,
62,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
62,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.005,,,,,,,
62,Right,22,0.0000,0.0000,0.0457,0.1857,0.0037,0.0843,0.9790,0.005,,,,,,,
62,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.005,,,,,,,
62,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.005,,,,,,,
62,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,0.4339,-0.2095,0.0090,-0.0743,-0.5921,-0.7978,0.0859
63,Left,2,0.0315,-0.0136,0.0332,-0.1504,0.3537,-0.5170,0.7649,0.005,,,,,,,
63,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.005,,,,,,,
63,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.005,,,,,,,
63,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,7,0.0031,0.0009,0.0602,0.1134,-0.0506,-0.0297,0.9918,0.005,,,,,,,
63,Left,8,0.0000,0.0000,0.0379,0.2333,-0.0010,0.0263,0.9721,0.005,,,,,,,
63,Left,9,0.0000,0.0000,0.0243,0.1398,-0.0235,0.0170,0.9898,0.005,,,,,,,
63,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,12,-0.0025,0.0045,0.0620,0.1623,-0.1143,0.0218,0.9798,0.005,,,,,,,
63,Left,13,0.0000,0.0000,0.0429,0.2786,-0.0011,0.0126,0.9603,0.005,,,,,,,
63,Left,14,0.0000,0.0000,0.0275,0.1262,0.0050,0.0557,0.9904,0.005,,,,,,,
63,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,17,-0.0025,-0.0005,0.0539,0.1759,-0.1364,0.0699,0.9724,0.005,,,,,,,
63,Left,18,0.0000,0.0000,0.0390,0.2387,0.0051,0.0386,0.9703,0.005,,,,,,,
63,Left,19,0.0000,0.0000,0.0266,0.1274,0.0297,0.0106,0.9913,0.005,,,,,,,
63,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.005,,,,,,,
63,Left,22,0.0000,0.0000,0.0457,0.1775,-0.0576,-0.0752,0.9795,0.005,,,,,,,
63,Left,23,0.0000,0.0000,0.0307,0.2054,-0.0336,0.0560,0.9765,0.005,,,,,,,
63,Left,24,0.0000,0.0000,0.0203,0.0354,0.0491,-0.0009,0.9982,0.005,,,,,,,
63,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
63,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.005,,,,,,,
63,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.005,,,,,,,
63,Right,4,0.0000,0.0000,0.0338,0.1372,-0.0484,0.0784,0.9862,0.005,,,,,,,
63,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,7,-0.0036,0.0020,0.0596,0.2377,0.0906,0.0198,0.9669,0.005,,,,,,,
63,Right,8,0.0000,0.0000,0.0379,0.1360,0.0036,-0.0263,0.9904,0.005,,,,,,,
63,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.005,,,,,,,
63,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,12,0.0020,0.0050,0.0614,0.2891,0.1009,-0.0334,0.9514,0.005,,,,,,,
63,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.005,,,,,,,
63,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.005,,,,,,,
63,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,17,0.0025,-0.0005,0.0539,0.2697,0.1103,-0.0778,0.9534,0.005,,,,,,,
63,Right,18,0.0000,0.0000,0.0390,0.0724,0.0006,-0.0352,0.9968,0.005,,,,,,,
63,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.005,,,,,,,
63,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
63,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.005,,,,,,,
63,Right,22,0.0000,0.0000,0.0457,0.1857,0.0037,0.0843,0.9790,0.005,,,,,,,
63,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.005,,,,,,,
63,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.005,,,,,,,
63,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,0.4339,-0.2095,0.0090,-0.0743,-0.5921,-0.7978,0.0859
64,Left,2,0.0315,-0.0136,0.0332,-0.1504,0.3537,-0.5170,0.7649,0.005,,,,,,,
64,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.005,,,,,,,
64,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.005,,,,,,,
64,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,7,0.0031,0.0009,0.0602,0.1134,-0.0506,-0.0297,0.9918,0.005,,,,,,,
64,Left,8,0.0000,0.0000,0.0379,0.2333,-0.0010,0.0263,0.9721,0.005,,,,,,,
64,Left,9,0.0000,0.0000,0.0243,0.1397,-0.0235,0.0170,0.9898,0.005,,,,,,,
64,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,12,-0.0025,0.0045,0.0620,0.1623,-0.1143,0.0218,0.9798,0.005,,,,,,,
64,Left,13,0.0000,0.0000,0.0429,0.2786,-0.0011,0.0126,0.9603,0.005,,,,,,,
64,Left,14,0.0000,0.0000,0.0275,0.1262,0.0050,0.0557,0.9904,0.005,,,,,,,
64,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,17,-0.0025,-0.0005,0.0539,0.1759,-0.1364,0.0699,0.9724,0.005,,,,,,,
64,Left,18,0.0000,0.0000,0.0390,0.2387,0.0051,0.0386,0.9703,0.005,,,,,,,
64,Left,19,0.0000,0.0000,0.0266,0.1274,0.0297,0.0106,0.9913,0.005,,,,,,,
64,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.005,,,,,,,
64,Left,22,0.0000,0.0000,0.0457,0.1775,-0.0576,-0.0752,0.9795,0.005,,,,,,,
64,Left,23,0.0000,0.0000,0.0307,0.2055,-0.0336,0.0560,0.9765,0.005,,,,,,,
64,Left,24,0.0000,0.0000,0.0203,0.0354,0.0491,-0.0009,0.9982,0.005,,,,,,,
64,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
64,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.005,,,,,,,
64,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.005,,,,,,,
64,Right,4,0.0000,0.0000,0.0338,0.1372,-0.0484,0.0784,0.9862,0.005,,,,,,,
64,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,7,-0.0036,0.0020,0.0596,0.2377,0.0906,0.0198,0.9669,0.005,,,,,,,
64,Right,8,0.0000,0.0000,0.0379,0.1360,0.0036,-0.0263,0.9904,0.005,,,,,,,
64,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.005,,,,,,,
64,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,12,0.0020,0.0050,0.0614,0.2891,0.1009,-0.0334,0.9514,0.005,,,,,,,
64,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.005,,,,,,,
64,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.005,,,,,,,
64,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,17,0.0025,-0.0005,0.0539,0.2697,0.1103,-0.0778,0.9534,0.005,,,,,,,
64,Right,18,0.0000,0.0000,0.0390,0.0724,0.0006,-0.0352,0.9968,0.005,,,,,,,
64,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.005,,,,,,,
64,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
64,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.005,,,,,,,
64,Right,22,0.0000,0.0000,0.0457,0.1857,0.0037,0.0843,0.9790,0.005,,,,,,,
64,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.005,,,,,,,
64,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.005,,,,,,,
64,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,0.4339,-0.2095,0.0090,-0.0743,-0.5921,-0.7978,0.0859
65,Left,2,0.0315,-0.0136,0.0332,-0.1504,0.3537,-0.5170,0.7649,0.005,,,,,,,
65,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.005,,,,,,,
65,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.005,,,,,,,
65,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,7,0.0031,0.0009,0.0602,0.1134,-0.0506,-0.0297,0.9918,0.005,,,,,,,
65,Left,8,0.0000,0.0000,0.0379,0.2333,-0.0010,0.0263,0.9721,0.005,,,,,,,
65,Left,9,0.0000,0.0000,0.0243,0.1397,-0.0235,0.0170,0.9898,0.005,,,,,,,
65,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,12,-0.0025,0.0045,0.0620,0.1623,-0.1143,0.0218,0.9798,0.005,,,,,,,
65,Left,13,0.0000,0.0000,0.0429,0.2786,-0.0011,0.0126,0.9603,0.005,,,,,,,
65,Left,14,0.0000,0.0000,0.0275,0.1262,0.0050,0.0557,0.9904,0.005,,,,,,,
65,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,17,-0.0025,-0.0005,0.0539,0.1759,-0.1364,0.0699,0.9724,0.005,,,,,,,
65,Left,18,0.0000,0.0000,0.0390,0.2387,0.0051,0.0386,0.9703,0.005,,,,,,,
65,Left,19,0.0000,0.0000,0.0266,0.1274,0.0297,0.0106,0.9913,0.005,,,,,,,
65,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.005,,,,,,,
65,Left,22,0.0000,0.0000,0.0457,0.1775,-0.0576,-0.0752,0.9795,0.005,,,,,,,
65,Left,23,0.0000,0.0000,0.0307,0.2055,-0.0336,0.0560,0.9765,0.005,,,,,,,
65,Left,24,0.0000,0.0000,0.0203,0.0354,0.0491,-0.0009,0.9982,0.005,,,,,,,
65,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.005,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
65,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.005,,,,,,,
65,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.005,,,,,,,
65,Right,4,0.0000,0.0000,0.0338,0.1372,-0.0484,0.0784,0.9862,0.005,,,,,,,
65,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Right,7,-0.0036,0.0020,0.0596,0.2377,0.0906,0.0198,0.9669,0.005,,,,,,,
65,Right,8,0.0000,0.0000,0.0379,0.1360,0.0036,-0.0263,0.9904,0.005,,,,,,,
65,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.005,,,,,,,
65,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Right,12,0.0020,0.0050,0.0614,0.2891,0.1009,-0.0334,0.9514,0.005,,,,,,,
65,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.005,,,,,,,
65,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.005,,,,,,,
65,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
65,Right,17,0.0025,-0.0005,0.0539,0.2697,0.1103,-0.0778,0.9534,0.005,,,,,,,
65,Right,18,0.0000,0.0000,0.0390,0.0724,0.0006,-0.0352,0.9968,0.005,,,,,,,
65,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.005,,,,,,,
65,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.005,,,,,,,
